location,date,new_deaths
Bulgaria,2020-09-29,6.0
Bulgaria,2020-09-30,12.0
Bulgaria,2020-10-01,0.0
Bulgaria,2020-10-02,13.0
Bulgaria,2020-10-03,3.0
Bulgaria,2020-10-04,3.0
Bulgaria,2020-10-05,10.0
Bulgaria,2020-10-06,8.0
Bulgaria,2020-10-07,11.0
Bulgaria,2020-10-08,7.0
Bulgaria,2020-10-09,7.0
Bulgaria,2020-10-10,4.0
Bulgaria,2020-10-11,1.0
Bulgaria,2020-10-12,23.0
Bulgaria,2020-10-13,8.0
Bulgaria,2020-10-14,6.0
Bulgaria,2020-10-15,15.0
Bulgaria,2020-10-16,14.0
Bulgaria,2020-10-17,10.0
Bulgaria,2020-10-18,18.0
Bulgaria,2020-10-19,22.0
Bulgaria,2020-10-20,11.0
Bulgaria,2020-10-21,29.0
Bulgaria,2020-10-22,16.0
Bulgaria,2020-10-23,13.0
Bulgaria,2020-10-24,7.0
Bulgaria,2020-10-25,10.0
Bulgaria,2020-10-26,42.0
Bulgaria,2020-10-27,25.0
Bulgaria,2020-10-28,36.0
Bulgaria,2020-10-29,28.0
Bulgaria,2020-10-30,29.0
Bulgaria,2020-10-31,25.0
Bulgaria,2020-11-01,19.0
Bulgaria,2020-11-02,51.0
Bulgaria,2020-11-03,63.0
Bulgaria,2020-11-04,54.0
Bulgaria,2020-11-05,52.0
Bulgaria,2020-11-06,58.0
Bulgaria,2020-11-07,56.0
Bulgaria,2020-11-08,33.0
Bulgaria,2020-11-09,106.0
Bulgaria,2020-11-10,80.0
Bulgaria,2020-11-11,47.0
Bulgaria,2020-11-12,72.0
Bulgaria,2020-11-13,85.0
Bulgaria,2020-11-14,36.0
Bulgaria,2020-11-15,39.0
Bulgaria,2020-11-16,152.0
Bulgaria,2020-11-17,131.0
Bulgaria,2020-11-18,117.0
Bulgaria,2020-11-19,119.0
Bulgaria,2020-11-20,129.0
Bulgaria,2020-11-21,42.0
Bulgaria,2020-11-22,60.0
Bulgaria,2020-11-23,189.0
Bulgaria,2020-11-24,157.0
Bulgaria,2020-11-25,141.0
Bulgaria,2020-11-26,162.0
Bulgaria,2020-11-27,151.0
Bulgaria,2020-11-28,69.0
Bulgaria,2020-11-29,65.0
Bulgaria,2020-11-30,221.0
Bulgaria,2020-12-01,153.0
Bulgaria,2020-12-02,159.0
Bulgaria,2020-12-03,156.0
Bulgaria,2020-12-04,147.0
Bulgaria,2020-12-05,79.0
Bulgaria,2020-12-06,68.0
Bulgaria,2020-12-07,213.0
Bulgaria,2020-12-08,146.0
Bulgaria,2020-12-09,127.0
Bulgaria,2020-12-10,122.0
Bulgaria,2020-12-11,157.0
Bulgaria,2020-12-12,64.0
Bulgaria,2020-12-13,62.0
Bulgaria,2020-12-14,150.0
Bulgaria,2020-12-15,167.0
Bulgaria,2020-12-16,191.0
Bulgaria,2020-12-17,143.0
Bulgaria,2020-12-18,157.0
Bulgaria,2020-12-19,55.0
Bulgaria,2020-12-20,58.0
Bulgaria,2020-12-21,156.0
Bulgaria,2020-12-22,114.0
Bulgaria,2020-12-23,99.0
Bulgaria,2020-12-24,45.0
Bulgaria,2020-12-25,50.0
Bulgaria,2020-12-26,50.0
Bulgaria,2020-12-27,41.0
Bulgaria,2020-12-28,87.0
